RESEARCH_ORG_CLEAN,total_funding,total_publications,avg_field_citation_ratio,avg_relative_citation_ratio,num_grants,dominant_field,impact_efficiency,cost_per_impact
,46255478.87224545,622.7761076638438,7.525020921233849,2.08774229202825,265,Other,0.00010131563554575971,9870.144865728498
ADA FORSYTH INSTITUTE INC,21763056.0,93.0,8.175116666666668,7.786499999999999,27,Biomedical,3.493470080672494e-05,28624.833672756104
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,4643812.0,74.0,10.444232804232804,2.473315789473684,7,Other,0.0001664307744398842,6008.504156550723
ARIZONA BOARD OF REGENTS FOR ARIZONA STATE UNIVERSITY,62725380.0,528.0,4.2401638525298075,1.043146571021571,38,Physical Sciences,3.569219531449213e-05,28017.32959233161
ARIZONA BOARD OF REGENTS THE UNIVERSITY OF ARIZONA,35628371.0,303.0,7.923183026852932,1.0124365079365079,20,Physical Sciences,6.738238066333256e-05,14840.674819673884
ARIZONA STATE UNIVERSITY,682222446.1272777,3781.8824774354184,5.919770918895321,1.7201389596412036,1054,Engineering & CS,3.28160969133889e-05,30472.850035739688
ARIZONA STATE UNIVERSITYTEMPE CAMPUS,197156295.0,1420.0,4.40557027134696,1.5271572119261463,201,Biomedical,3.173071286064025e-05,31515.20750233225
AZ BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,2693809.466666667,58.13333333333333,6.569038461538462,2.7525000000000004,5,Defense,0.00014176210577975394,7054.0712872425265
BEN GURION UNIVERSITY ISRAEL,2546799.8333333335,52.833333333333336,7.8721000000000005,0.39166666666666666,27,Other,0.0001633066242151343,6123.450318112239
BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM OPERATING AS UNIVERSITY OF WISCONSINMADISON,479149141.0,2624.0,6.024356261977412,1.0771220310879615,90,Physical Sciences,3.29916292836028e-05,30310.71886155713
BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,122041827.68565671,1088.3979797979798,9.326033325578631,1.5742115527639924,132,Other,8.31717782630469e-05,12023.309118596766
